cc-q1,cc-q2,cc-q3,cc-q4,cc-q5,cc-q6,cc-q7,cc-q8,cc-q9,cc-q10,cc-q11,cc-q12,cc-q13,cc-q14,cc-q15,cc-q16,cc-q17,cc-q18,cc-q19,cc-q20,cc-q21,cc-q22,cc-q23,cc-q24,cc-q25,cc-q26,cc-q27,cc-q28,cc-q29,cc-q30,cc-q31,cc-q32,cc-q33,cc-q34,cc-q35,cc-q36,cc-q37,cc-q38,cc-q39,cc-q40,cc-q41,cc-q42,cc-q43,cc-q44,cc-q45,cc-q46,cc-q47,cc-q48,cc-q49,cc-q50,cc-q51,cc-q52,cc-q53,cc-q54,cc-q55,cc-q56,cc-q57,cc-q58,cc-q59,cc-q60,Career
1,1,1,1,0,1,1,0,1,0,1,1,1,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Data Analyst
1,1,1,1,0,1,1,0,1,0,1,1,1,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AI Engineer
1,1,1,1,0,1,1,0,1,0,1,1,1,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Full Stack Developer
1,1,1,1,0,1,1,0,1,0,1,1,1,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Project Manager
1,1,1,1,0,1,1,0,1,0,1,1,1,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Business Analyst
1,1,1,1,0,1,1,0,1,0,1,1,1,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Backend Developer
1,1,1,1,0,1,1,0,1,0,1,1,1,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AI Researcher
1,1,1,1,0,1,1,0,1,0,1,1,1,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Data Scientist
 

ip-q1,ip-q2,ip-q3,ip-q4,ip-q5,ip-q6,ip-q7,ip-q8,ip-q9,ip-q10,ip-q11,ip-q12,ip-q13,ip-q14,ip-q15,ip-q16,ip-q17,ip-q18,ip-q19,ip-q20,ip-q21,ip-q22,ip-q23,ip-q24,ip-q25,ip-q26,ip-q27,ip-q28,ip-q29,ip-q30,ip-q31,ip-q32,ip-q33,ip-q34,ip-q35,ip-q36,ip-q37,ip-q38,ip-q39,ip-q40,ip-q41,ip-q42,ip-q43,ip-q44,ip-q45,ip-q46,ip-q47,ip-q48,ip-q49,ip-q50,Career
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Data Analyst
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,AI Engineer
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Full Stack Developer
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Project Manager
0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,0,1,2,3,0,1,2,3,0,1,0,1,2,3,0,1,2,3,0,1,0,1,2,3,0,1,2,3,0,1,0,1,2,3,0,Business Analyst
2,0,1,3,1,2,0,3,2,0,1,3,2,0,1,2,0,1,3,1,2,0,3,2,0,2,0,1,3,1,2,0,3,2,0,2,0,1,3,1,2,0,3,2,0,2,0,1,3,2,Backend Developer
1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,1,2,3,0,1,2,3,0,1,2,1,2,3,0,1,2,3,0,1,2,1,2,3,0,1,2,3,0,1,2,1,2,3,0,1,AI Researcher
3,2,1,0,3,2,1,0,3,2,1,0,3,2,1,3,2,1,0,3,2,1,0,3,2,3,2,1,0,3,2,1,0,3,2,3,2,1,0,3,2,1,0,3,2,3,2,1,0,3,Data Scientist


pi-q1,pi-q2,pi-q3,pi-q4,pi-q5,pi-q6,pi-q7,pi-q8,pi-q9,pi-q10,pi-q11,pi-q12,pi-q13,pi-q14,pi-q15,pi-q16,pi-q17,pi-q18,pi-q19,pi-q20,pi-q21,pi-q22,pi-q23,pi-q24,pi-q25,pi-q26,pi-q27,pi-q28,pi-q29,pi-q30,pi-q31,pi-q32,pi-q33,pi-q34,pi-q35,pi-q36,pi-q37,pi-q38,pi-q39,pi-q40,pi-q41,pi-q42,pi-q43,pi-q44,pi-q45,pi-q46,pi-q47,pi-q48,pi-q49,pi-q50,Career
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Data Analyst
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,AI Engineer
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Full Stack Developer
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Project Manager
